Year,Month,Heads,Unit
2025,JAN,833821000,HEAD
2024,JAN,825149000,HEAD
2024,FEB,771884000,HEAD
2024,MAR,753828000,HEAD
2024,APR,802999000,HEAD
2024,MAY,823963000,HEAD
2024,JUN,762963000,HEAD
2024,JUL,835644000,HEAD
2024,AUG,823686000,HEAD
2024,SEP,779789000,HEAD
2024,OCT,872191000,HEAD
2024,NOV,736127000,HEAD
2024,DEC,786020000,HEAD
2023,JAN,813729000,HEAD
2023,FEB,739997000,HEAD
2023,MAR,826595000,HEAD
2023,APR,733359000,HEAD
2023,MAY,831389000,HEAD
2023,JUN,812360000,HEAD
2023,JUL,770388000,HEAD
2023,AUG,862844000,HEAD
2023,SEP,771171000,HEAD
2023,OCT,835129000,HEAD
2023,NOV,771061000,HEAD
2023,DEC,733589000,HEAD
2022,JAN,765232000,HEAD
2022,FEB,723209000,HEAD
2022,MAR,834343000,HEAD
2022,APR,746939000,HEAD
2022,MAY,790280000,HEAD
2022,JUN,820059000,HEAD
2022,JUL,767271000,HEAD
2022,AUG,873274000,HEAD
2022,SEP,816859000,HEAD
2022,OCT,819324000,HEAD
2022,NOV,802918000,HEAD
2022,DEC,786514000,HEAD
2021,JAN,754209000,HEAD
2021,FEB,685433000,HEAD
2021,MAR,842280000,HEAD
2021,APR,772456000,HEAD
2021,MAY,748601000,HEAD
2021,JUN,815417000,HEAD
2021,JUL,779447000,HEAD
2021,AUG,809162000,HEAD
2021,SEP,804174000,HEAD
2021,OCT,781204000,HEAD
2021,NOV,758827000,HEAD
2021,DEC,774374000,HEAD
2020,JAN,830281000,HEAD
2020,FEB,726073000,HEAD
2020,MAR,821201000,HEAD
2020,APR,762457000,HEAD
2020,MAY,741490000,HEAD
2020,JUN,783371000,HEAD
2020,JUL,796488000,HEAD
2020,AUG,781691000,HEAD
2020,SEP,800543000,HEAD
2020,OCT,798003000,HEAD
2020,NOV,727756000,HEAD
2020,DEC,777306000,HEAD
2019,JAN,798458000,HEAD
2019,FEB,706552000,HEAD
2019,MAR,740331000,HEAD
2019,APR,768091000,HEAD
2019,MAY,813274000,HEAD
2019,JUN,749607000,HEAD
2019,JUL,823511000,HEAD
2019,AUG,815546000,HEAD
2019,SEP,776646000,HEAD
2019,OCT,859145000,HEAD
2019,NOV,721361000,HEAD
2019,DEC,766727000,HEAD
2018,JAN,782455000,HEAD
2018,FEB,703202000,HEAD
2018,MAR,753248000,HEAD
2018,APR,741597000,HEAD
2018,MAY,805212000,HEAD
2018,JUN,756015000,HEAD
2018,JUL,786195000,HEAD
2018,AUG,834864000,HEAD
2018,SEP,728624000,HEAD
2018,OCT,831667000,HEAD
2018,NOV,739229000,HEAD
2018,DEC,698602000,HEAD
2017,JAN,760368000,HEAD
2017,FEB,690221000,HEAD
2017,MAR,783661000,HEAD
2017,APR,700938000,HEAD
2017,MAY,794438000,HEAD
2017,JUN,775332000,HEAD
2017,JUL,736363000,HEAD
2017,AUG,821855000,HEAD
2017,SEP,738887000,HEAD
2017,OCT,794358000,HEAD
2017,NOV,739470000,HEAD
2017,DEC,714811000,HEAD
2016,JAN,710640000,HEAD
2016,FEB,711344000,HEAD
2016,MAR,773463000,HEAD
2016,APR,718583000,HEAD
2016,MAY,756989000,HEAD
2016,JUN,767048000,HEAD
2016,JUL,719375000,HEAD
2016,AUG,807061000,HEAD
2016,SEP,757538000,HEAD
2016,OCT,742750000,HEAD
2016,NOV,723990000,HEAD
2016,DEC,720205000,HEAD
2015,JAN,736569000,HEAD
2015,FEB,665522000,HEAD
2015,MAR,753930000,HEAD
2015,APR,737906000,HEAD
2015,MAY,715318000,HEAD
2015,JUN,758729000,HEAD
2015,JUL,773433000,HEAD
2015,AUG,750900000,HEAD
2015,SEP,759617000,HEAD
2015,OCT,755016000,HEAD
2015,NOV,683645000,HEAD
2015,DEC,732107000,HEAD
2014,JAN,718922000,HEAD
2014,FEB,677143000,HEAD
2014,MAR,700950000,HEAD
2014,APR,723676000,HEAD
2014,MAY,725307000,HEAD
2014,JUN,724604000,HEAD
2014,JUL,754904000,HEAD
2014,AUG,722492000,HEAD
2014,SEP,744053000,HEAD
2014,OCT,782944000,HEAD
2014,NOV,653719000,HEAD
2014,DEC,740914000,HEAD
2013,JAN,748545000,HEAD
2013,FEB,660804000,HEAD
2013,MAR,690590000,HEAD
2013,APR,733619000,HEAD
2013,MAY,756689000,HEAD
2013,JUN,691332000,HEAD
2013,JUL,760045000,HEAD
2013,AUG,756548000,HEAD
2013,SEP,705973000,HEAD
2013,OCT,780880000,HEAD
2013,NOV,664872000,HEAD
2013,DEC,698859000,HEAD
2012,JAN,720060000,HEAD
2012,FEB,685248000,HEAD
2012,MAR,711541000,HEAD
2012,APR,696169000,HEAD
2012,MAY,763453000,HEAD
2012,JUN,719362000,HEAD
2012,JUL,733916000,HEAD
2012,AUG,774298000,HEAD
2012,SEP,675207000,HEAD
2012,OCT,757943000,HEAD
2012,NOV,684554000,HEAD
2012,DEC,654444000,HEAD
2011,JAN,725121000,HEAD
2011,FEB,670358000,HEAD
2011,MAR,777252000,HEAD
2011,APR,698538000,HEAD
2011,MAY,757977000,HEAD
2011,JUN,765602000,HEAD
2011,JUL,711627000,HEAD
2011,AUG,780867000,HEAD
2011,SEP,734686000,HEAD
2011,OCT,713598000,HEAD
2011,NOV,677159000,HEAD
2011,DEC,670858000,HEAD
2010,JAN,683938000,HEAD
2010,FEB,662044000,HEAD
2010,MAR,761718000,HEAD
2010,APR,726749000,HEAD
2010,MAY,717419000,HEAD
2010,JUN,756642000,HEAD
2010,JUL,742447000,HEAD
2010,AUG,781368000,HEAD
2010,SEP,767146000,HEAD
2010,OCT,734337000,HEAD
2010,NOV,719963000,HEAD
2010,DEC,736513000,HEAD
2009,JAN,705690000,HEAD
2009,FEB,667447000,HEAD
2009,MAR,738900000,HEAD
2009,APR,734130000,HEAD
2009,MAY,704593000,HEAD
2009,JUN,751119000,HEAD
2009,JUL,760486000,HEAD
2009,AUG,738534000,HEAD
2009,SEP,740924000,HEAD
2009,OCT,737129000,HEAD
2009,NOV,666079000,HEAD
2009,DEC,713572000,HEAD
2008,JAN,799943000,HEAD
2008,FEB,728095000,HEAD
2008,MAR,739561000,HEAD
2008,APR,785457000,HEAD
2008,MAY,776707000,HEAD
2008,JUN,760551000,HEAD
2008,JUL,799184000,HEAD
2008,AUG,756284000,HEAD
2008,SEP,766870000,HEAD
2008,OCT,791904000,HEAD
2008,NOV,649245000,HEAD
2008,DEC,721311000,HEAD
2007,JAN,761397000,HEAD
2007,FEB,677652000,HEAD
2007,MAR,740368000,HEAD
2007,APR,724478000,HEAD
2007,MAY,795486000,HEAD
2007,JUN,760589000,HEAD
2007,JUL,768445000,HEAD
2007,AUG,811637000,HEAD
2007,SEP,717220000,HEAD
2007,OCT,826835000,HEAD
2007,NOV,738862000,HEAD
2007,DEC,712651000,HEAD
2006,JAN,757532000,HEAD
2006,FEB,688301000,HEAD
2006,MAR,788880000,HEAD
2006,APR,704626000,HEAD
2006,MAY,798070000,HEAD
2006,JUN,775027000,HEAD
2006,JUL,726728000,HEAD
2006,AUG,805409000,HEAD
2006,SEP,722965000,HEAD
2006,OCT,785406000,HEAD
2006,NOV,726380000,HEAD
2006,DEC,689342000,HEAD
2005,JAN,731023000,HEAD
2005,FEB,683240000,HEAD
2005,MAR,782457000,HEAD
2005,APR,728051000,HEAD
2005,MAY,771055000,HEAD
2005,JUN,786222000,HEAD
2005,JUL,731664000,HEAD
2005,AUG,806846000,HEAD
2005,SEP,761673000,HEAD
2005,OCT,757041000,HEAD
2005,NOV,731737000,HEAD
2005,DEC,729464000,HEAD
2004,JAN,732301000,HEAD
2004,FEB,656113000,HEAD
2004,MAR,777216000,HEAD
2004,APR,739639000,HEAD
2004,MAY,726312000,HEAD
2004,JUN,761260000,HEAD
2004,JUL,754300000,HEAD
2004,AUG,783624000,HEAD
2004,SEP,767463000,HEAD
2004,OCT,742651000,HEAD
2004,NOV,719799000,HEAD
2004,DEC,735070000,HEAD
2003,JAN,739540000,HEAD
2003,FEB,646140000,HEAD
2003,MAR,695744000,HEAD
2003,APR,726813000,HEAD
2003,MAY,740371000,HEAD
2003,JUN,727348000,HEAD
2003,JUL,775679000,HEAD
2003,AUG,735471000,HEAD
2003,SEP,740215000,HEAD
2003,OCT,794216000,HEAD
2003,NOV,636061000,HEAD
2003,DEC,726836000,HEAD
2002,JAN,753629000,HEAD
2002,FEB,668998000,HEAD
2002,MAR,702452000,HEAD
2002,APR,748619000,HEAD
2002,MAY,776606000,HEAD
2002,JUN,698534000,HEAD
2002,JUL,770375000,HEAD
2002,AUG,772835000,HEAD
2002,SEP,700712000,HEAD
2002,OCT,788457000,HEAD
2002,NOV,659248000,HEAD
2002,DEC,675634000,HEAD
2001,JAN,724682000,HEAD
2001,FEB,640114000,HEAD
2001,MAR,715118000,HEAD
2001,APR,688860000,HEAD
2001,MAY,769362000,HEAD
2001,JUN,722575000,HEAD
2001,JUL,721898000,HEAD
2001,AUG,790269000,HEAD
2001,SEP,665542000,HEAD
2001,OCT,784078000,HEAD
2001,NOV,679861000,HEAD
2001,DEC,664023000,HEAD
2000,JAN,669634000,HEAD
2000,FEB,686494000,HEAD
2000,MAR,746269000,HEAD
2000,APR,649237000,HEAD
2000,MAY,767299000,HEAD
2000,JUN,748722000,HEAD
2000,JUL,675494000,HEAD
2000,AUG,775930000,HEAD
2000,SEP,670426000,HEAD
2000,OCT,719654000,HEAD
2000,NOV,674925000,HEAD
2000,DEC,642057000,HEAD
1999,JAN,678927000,HEAD
1999,FEB,631824000,HEAD
1999,MAR,722284000,HEAD
1999,APR,702597000,HEAD
1999,MAY,687342000,HEAD
1999,JUN,718517000,HEAD
1999,JUL,702989000,HEAD
1999,AUG,722331000,HEAD
1999,SEP,696166000,HEAD
1999,OCT,681260000,HEAD
1999,NOV,663525000,HEAD
1999,DEC,679453000,HEAD
1998,JAN,683661000,HEAD
1998,FEB,620081000,HEAD
1998,MAR,666154000,HEAD
1998,APR,677430000,HEAD
1998,MAY,650411000,HEAD
1998,JUN,683251000,HEAD
1998,JUL,701148000,HEAD
1998,AUG,665207000,HEAD
1998,SEP,669631000,HEAD
1998,OCT,701553000,HEAD
1998,NOV,612240000,HEAD
1998,DEC,676215000,HEAD
1997,JAN,682844000,HEAD
1997,FEB,605533000,HEAD
1997,MAR,629615000,HEAD
1997,APR,679211000,HEAD
1997,MAY,683309000,HEAD
1997,JUN,655184000,HEAD
1997,JUL,684210000,HEAD
1997,AUG,667594000,HEAD
1997,SEP,660950000,HEAD
1997,OCT,717557000,HEAD
1997,NOV,576027000,HEAD
1997,DEC,661504000,HEAD
1996,JAN,658275000,HEAD
1996,FEB,631986000,HEAD
1996,MAR,630798000,HEAD
1996,APR,640356000,HEAD
1996,MAY,676931000,HEAD
1996,JUN,611897000,HEAD
1996,JUL,668125000,HEAD
1996,AUG,671546000,HEAD
1996,SEP,619250000,HEAD
1996,OCT,700669000,HEAD
1996,NOV,582784000,HEAD
1996,DEC,607242000,HEAD
1995,JAN,621916000,HEAD
1995,FEB,573789000,HEAD
1995,MAR,665504000,HEAD
1995,APR,578716000,HEAD
1995,MAY,669262000,HEAD
1995,JUN,674080000,HEAD
1995,JUL,597576000,HEAD
1995,AUG,678203000,HEAD
1995,SEP,619743000,HEAD
1995,OCT,654327000,HEAD
1995,NOV,608496000,HEAD
1995,DEC,589234000,HEAD
1994,JAN,572361000,HEAD
1994,FEB,535304000,HEAD
1994,MAR,615411000,HEAD
1994,APR,583376000,HEAD
1994,MAY,602123000,HEAD
1994,JUN,644160000,HEAD
1994,JUL,583138000,HEAD
1994,AUG,676412000,HEAD
1994,SEP,625653000,HEAD
1994,OCT,614169000,HEAD
1994,NOV,591980000,HEAD
1994,DEC,595509000,HEAD
1993,JAN,555319000,HEAD
1993,FEB,512716000,HEAD
1993,MAR,587194000,HEAD
1993,APR,573268000,HEAD
1993,MAY,549813000,HEAD
1993,JUN,611050000,HEAD
1993,JUL,576788000,HEAD
1993,AUG,604730000,HEAD
1993,SEP,594685000,HEAD
1993,OCT,568327000,HEAD
1993,NOV,550410000,HEAD
1993,DEC,572600000,HEAD
1992,JAN,560030000,HEAD
1992,FEB,499703000,HEAD
1992,MAR,552947000,HEAD
1992,APR,543077000,HEAD
1992,MAY,542702000,HEAD
1992,JUN,571535000,HEAD
1992,JUL,587888000,HEAD
1992,AUG,558768000,HEAD
1992,SEP,561895000,HEAD
1992,OCT,566850000,HEAD
1992,NOV,494140000,HEAD
1992,DEC,562805000,HEAD
1991,JAN,532204000,HEAD
1991,FEB,477323000,HEAD
1991,MAR,490627000,HEAD
1991,APR,541897000,HEAD
1991,MAY,561820000,HEAD
1991,JUN,508277000,HEAD
1991,JUL,563055000,HEAD
1991,AUG,566773000,HEAD
1991,SEP,511436000,HEAD
1991,OCT,574516000,HEAD
1991,NOV,477000000,HEAD
1991,DEC,508727000,HEAD
1990,JAN,512253000,HEAD
1990,FEB,446347000,HEAD
1990,MAR,499575000,HEAD
1990,APR,485505000,HEAD
1990,MAY,530296000,HEAD
1990,JUN,506096000,HEAD
1990,JUL,506351000,HEAD
1990,AUG,557576000,HEAD
1990,SEP,462953000,HEAD
1990,OCT,560017000,HEAD
1990,NOV,496894000,HEAD
1990,DEC,458575000,HEAD
1989,JAN,455921000,HEAD
1989,FEB,420154000,HEAD
1989,MAR,483125000,HEAD
1989,APR,436221000,HEAD
1989,MAY,502815000,HEAD
1989,JUN,500344000,HEAD
1989,JUL,455947000,HEAD
1989,AUG,532389000,HEAD
1989,SEP,467789000,HEAD
1989,OCT,483401000,HEAD
1989,NOV,460350000,HEAD
1989,DEC,482613000,HEAD
1988,JAN,427668000,HEAD
1988,FEB,429130000,HEAD
1988,MAR,465226000,HEAD
1988,APR,434926000,HEAD
1988,MAY,455463000,HEAD
1988,JUN,466886000,HEAD
1988,JUL,416778000,HEAD
1988,AUG,484336000,HEAD
1988,SEP,453974000,HEAD
1988,OCT,447822000,HEAD
1988,NOV,429782000,HEAD
1988,DEC,439038000,HEAD
1987,JAN,420330000,HEAD
1987,FEB,387451000,HEAD
1987,MAR,430219000,HEAD
1987,APR,424594000,HEAD
1987,MAY,419327000,HEAD
1987,JUN,460744000,HEAD
1987,JUL,456471000,HEAD
1987,AUG,435234000,HEAD
1987,SEP,455727000,HEAD
1987,OCT,451050000,HEAD
1987,NOV,390568000,HEAD
1987,DEC,438622000,HEAD
1986,JAN,406541000,HEAD
1986,FEB,364433000,HEAD
1986,MAR,377615000,HEAD
1986,APR,416846000,HEAD
1986,MAY,415299000,HEAD
1986,JUN,409847000,HEAD
1986,JUL,417331000,HEAD
1986,AUG,408127000,HEAD
1986,SEP,414575000,HEAD
1986,OCT,424203000,HEAD
1986,NOV,353172000,HEAD
1986,DEC,425666000,HEAD
1985,JAN,397231000,HEAD
1985,FEB,341860000,HEAD
1985,MAR,371603000,HEAD
1985,APR,405097000,HEAD
1985,MAY,412148000,HEAD
1985,JUN,373324000,HEAD
1985,JUL,412382000,HEAD
1985,AUG,411905000,HEAD
1985,SEP,367026000,HEAD
1985,OCT,419103000,HEAD
1985,NOV,337171000,HEAD
1985,DEC,368420000,HEAD
1984,JAN,353287000,HEAD
1984,FEB,336445000,HEAD
1984,MAR,365542000,HEAD
1984,APR,357410000,HEAD
1984,MAY,404512000,HEAD
1984,JUN,384855000,HEAD
1984,JUL,381555000,HEAD
1984,AUG,420196000,HEAD
1984,SEP,353126000,HEAD
1984,OCT,413327000,HEAD
1984,NOV,346725000,HEAD
1984,DEC,342020000,HEAD
1983,JAN,359215000,HEAD
1983,FEB,328555000,HEAD
1983,MAR,387320000,HEAD
1983,APR,363238000,HEAD
1983,MAY,377794000,HEAD
1983,JUN,388530000,HEAD
1983,JUL,345548000,HEAD
1983,AUG,394950000,HEAD
1983,SEP,364266000,HEAD
1983,OCT,354796000,HEAD
1983,NOV,321036000,HEAD
1983,DEC,325435000,HEAD
1982,JAN,332717000,HEAD
1982,FEB,325655000,HEAD
1982,MAR,376336000,HEAD
1982,APR,361139000,HEAD
1982,MAY,354902000,HEAD
1982,JUN,385404000,HEAD
1982,JUL,366833000,HEAD
1982,AUG,377448000,HEAD
1982,SEP,367446000,HEAD
1982,OCT,351176000,HEAD
1982,NOV,327442000,HEAD
1982,DEC,343449000,HEAD
1981,JAN,353986000,HEAD
1981,FEB,316234000,HEAD
1981,MAR,367557000,HEAD
1981,APR,373678000,HEAD
1981,MAY,366381000,HEAD
1981,JUN,382884000,HEAD
1981,JUL,379462000,HEAD
1981,AUG,360620000,HEAD
1981,SEP,364773000,HEAD
1981,OCT,364465000,HEAD
1981,NOV,303358000,HEAD
1981,DEC,344486000,HEAD
1980,JAN,353812000,HEAD
1980,FEB,326710000,HEAD
1980,MAR,340863000,HEAD
1980,APR,369272000,HEAD
1980,MAY,365365000,HEAD
1980,JUN,355800000,HEAD
1980,JUL,352519000,HEAD
1980,AUG,342374000,HEAD
1980,SEP,341476000,HEAD
1980,OCT,357674000,HEAD
1980,NOV,288720000,HEAD
1980,DEC,337579000,HEAD
1979,JAN,335585000,HEAD
1979,FEB,284567000,HEAD
1979,MAR,340358000,HEAD
1979,APR,334978000,HEAD
1979,MAY,377053000,HEAD
1979,JUN,349594000,HEAD
1979,JUL,358970000,HEAD
1979,AUG,384208000,HEAD
1979,SEP,313982000,HEAD
1979,OCT,375234000,HEAD
1979,NOV,297892000,HEAD
1979,DEC,291915000,HEAD
1978,JAN,294674000,HEAD
1978,FEB,275099000,HEAD
1978,MAR,317402000,HEAD
1978,APR,286537000,HEAD
1978,MAY,335605000,HEAD
1978,JUN,335835000,HEAD
1978,JUL,306358000,HEAD
1978,AUG,348928000,HEAD
1978,SEP,307500000,HEAD
1978,OCT,326239000,HEAD
1978,NOV,288246000,HEAD
1978,DEC,284855000,HEAD
1977,JAN,272419000,HEAD
1977,FEB,258186000,HEAD
1977,MAR,304377000,HEAD
1977,APR,287406000,HEAD
1977,MAY,308594000,HEAD
1977,JUN,326573000,HEAD
1977,JUL,288936000,HEAD
1977,AUG,332549000,HEAD
1977,SEP,304084000,HEAD
1977,OCT,288426000,HEAD
1977,NOV,272637000,HEAD
1977,DEC,282760000,HEAD
1976,JAN,273418000,HEAD
1976,FEB,245846000,HEAD
1976,MAR,295365000,HEAD
1976,APR,289509000,HEAD
1976,MAY,282934000,HEAD
1976,JUN,316196000,HEAD
1976,JUL,297205000,HEAD
1976,AUG,308406000,HEAD
1976,SEP,301673000,HEAD
1976,OCT,288436000,HEAD
1976,NOV,262966000,HEAD
1976,DEC,270929000,HEAD
1975,JAN,254346000,HEAD
1975,FEB,224600000,HEAD
1975,MAR,241569000,HEAD
1975,APR,266799000,HEAD
1975,MAY,266738000,HEAD
1975,JUN,266460000,HEAD
1975,JUL,279433000,HEAD
1975,AUG,267004000,HEAD
1975,SEP,266238000,HEAD
1975,OCT,284921000,HEAD
1975,NOV,215823000,HEAD
1975,DEC,263499000,HEAD
1974,JAN,278858000,HEAD
1974,FEB,239819000,HEAD
1974,MAR,258615000,HEAD
1974,APR,265201000,HEAD
1974,MAY,291476000,HEAD
1974,JUN,266983000,HEAD
1974,JUL,280835000,HEAD
1974,AUG,280640000,HEAD
1974,SEP,236961000,HEAD
1974,OCT,262444000,HEAD
1974,NOV,205610000,HEAD
1974,DEC,226311000,HEAD
1973,JAN,265287000,HEAD
1973,FEB,233748000,HEAD
1973,MAR,253141000,HEAD
1973,APR,242359000,HEAD
1973,MAY,282300000,HEAD
1973,JUN,273113000,HEAD
1973,JUL,270713000,HEAD
1973,AUG,277454000,HEAD
1973,SEP,238343000,HEAD
1973,OCT,284969000,HEAD
1973,NOV,247764000,HEAD
1973,DEC,228042000,HEAD
1972,JAN,249411000,HEAD
1972,FEB,244427000,HEAD
1972,MAR,265748000,HEAD
1972,APR,251800000,HEAD
1972,MAY,282058000,HEAD
1972,JUN,283941000,HEAD
1972,JUL,251753000,HEAD
1972,AUG,294016000,HEAD
1972,SEP,252028000,HEAD
1972,OCT,270921000,HEAD
1972,NOV,244851000,HEAD
1972,DEC,231019000,HEAD
1971,JAN,231684000,HEAD
1971,FEB,222029000,HEAD
1971,MAR,255537000,HEAD
1971,APR,246743000,HEAD
1971,MAY,241221000,HEAD
1971,JUN,268666000,HEAD
1971,JUL,254339000,HEAD
1971,AUG,270000000,HEAD
1971,SEP,255424000,HEAD
1971,OCT,249296000,HEAD
1971,NOV,229208000,HEAD
1971,DEC,238018000,HEAD
1970,JAN,235400000,HEAD
1970,FEB,217730000,HEAD
1970,MAR,239879000,HEAD
1970,APR,259961000,HEAD
1970,MAY,250027000,HEAD
1970,JUN,274477000,HEAD
1970,JUL,271390000,HEAD
1970,AUG,254865000,HEAD
1970,SEP,251185000,HEAD
1970,OCT,254469000,HEAD
1970,NOV,208552000,HEAD
1970,DEC,228357000,HEAD
1969,JAN,223114000,HEAD
1969,FEB,188000000,HEAD
1969,MAR,203251000,HEAD
1969,APR,222620000,HEAD
1969,MAY,234720000,HEAD
1969,JUN,238033000,HEAD
1969,JUL,237403000,HEAD
1969,AUG,235737000,HEAD
1969,SEP,231757000,HEAD
1969,OCT,247518000,HEAD
1969,NOV,186415000,HEAD
1969,DEC,221486000,HEAD
1968,JAN,206550000,HEAD
1968,FEB,185828000,HEAD
1968,MAR,191146000,HEAD
1968,APR,204758000,HEAD
1968,MAY,221873000,HEAD
1968,JUN,206586000,HEAD
1968,JUL,231359000,HEAD
1968,AUG,231103000,HEAD
1968,SEP,204046000,HEAD
1968,OCT,233307000,HEAD
1968,NOV,178078000,HEAD
1968,DEC,192519000,HEAD
1967,JAN,204671000,HEAD
1967,FEB,176884000,HEAD
1967,MAR,205022000,HEAD
1967,APR,196388000,HEAD
1967,MAY,231422000,HEAD
1967,JUN,232540000,HEAD
1967,JUL,203772000,HEAD
1967,AUG,240230000,HEAD
1967,SEP,209473000,HEAD
1967,OCT,220140000,HEAD
1967,NOV,188195000,HEAD
1967,DEC,180856000,HEAD
1966,JAN,174056000,HEAD
1966,FEB,172690000,HEAD
1966,MAR,188334000,HEAD
1966,APR,191255000,HEAD
1966,MAY,201317000,HEAD
1966,JUN,219283000,HEAD
1966,JUL,201680000,HEAD
1966,AUG,229077000,HEAD
1966,SEP,213194000,HEAD
1966,OCT,208073000,HEAD
1966,NOV,187929000,HEAD
1966,DEC,199242000,HEAD
1965,JAN,169526000,HEAD
1965,FEB,151680000,HEAD
1965,MAR,174172000,HEAD
1965,APR,176032000,HEAD
1965,MAY,181150000,HEAD
1965,JUN,201129000,HEAD
1965,JUL,198680000,HEAD
1965,AUG,205353000,HEAD
1965,SEP,197222000,HEAD
1965,OCT,190634000,HEAD
1965,NOV,168195000,HEAD
1965,DEC,178605000,HEAD
1964,JAN,168291000,HEAD
1964,FEB,147729000,HEAD
1964,MAR,158219000,HEAD
1964,APR,170816000,HEAD
1964,MAY,176054000,HEAD
1964,JUN,191612000,HEAD
1964,JUL,186442000,HEAD
1964,AUG,185576000,HEAD
1964,SEP,180227000,HEAD
1964,OCT,178064000,HEAD
1964,NOV,147093000,HEAD
1964,DEC,160707000,HEAD
1963,JAN,161308000,HEAD
1963,FEB,130084000,HEAD
1963,MAR,144811000,HEAD
1963,APR,157452000,HEAD
1963,MAY,175875000,HEAD
1963,JUN,175772000,HEAD
1963,JUL,189597000,HEAD
1963,AUG,187441000,HEAD
1963,SEP,166167000,HEAD
1963,OCT,175724000,HEAD
1963,NOV,141498000,HEAD
1963,DEC,158193000,HEAD
1962,JAN,134713000,HEAD
1962,FEB,118224000,HEAD
1962,MAR,143983000,HEAD
1962,APR,151711000,HEAD
1962,MAY,183633000,HEAD
1962,JUN,180066000,HEAD
1962,JUL,172714000,HEAD
1962,AUG,181488000,HEAD
1962,SEP,150425000,HEAD
1962,OCT,178276000,HEAD
1962,NOV,148552000,HEAD
1962,DEC,140890000,HEAD
1961,JAN,129916000,HEAD
1961,FEB,111446000,HEAD
1961,MAR,141697000,HEAD
1961,APR,149624000,HEAD
1961,MAY,178754000,HEAD
1961,JUN,188457000,HEAD
1961,JUL,174223000,HEAD
1961,AUG,184990000,HEAD
1961,SEP,165865000,HEAD
1961,OCT,166494000,HEAD
1961,NOV,133468000,HEAD
1961,DEC,120125000,HEAD
1960,JAN,113232000,HEAD
1960,FEB,113232000,HEAD
1960,MAR,126601000,HEAD
1960,APR,129082000,HEAD
1960,MAY,142033000,HEAD
1960,JUN,149219000,HEAD
1960,JUL,145811000,HEAD
1960,AUG,173305000,HEAD
1960,SEP,154777000,HEAD
1960,OCT,145929000,HEAD
1960,NOV,127736000,HEAD
1960,DEC,123069000,HEAD
